experiment	tok_s	sim_streamed_tps	bandwidth_MBps	per_expert_ms	cache_hit	status	notes
v7.5_phase3_pipeline	2.78	N/A	N/A	360	79.2%	keep	Phase 3 async pipeline. 3 CUDA streams + double-buffered pinned memory. DeltaNet=151ms(-25). 2.78 tok/s!
v7.6_vnni_expert	2.55	N/A	N/A	393	79.0%	reject	VNNI dpbusd for Q4_K/Q5_K expert. NO improvement — hsum overhead negates dpbusd gain. Revert.
v7.7_avx512_q4k_int	2.11	N/A	N/A	474	83.2%	reject	AVX-512 Q4_K integer: SLOWER. Nibble layout mismatch + expensive set_epi16 for scales. Reverted.
v7.8_multirow	2.73	N/A	N/A	366	79.2%	reject	Multi-row Q4_K blocking: no improvement. Activation already in L1 cache.
v7.9_prefetch	2.75	N/A	N/A	363	79.2%	reject	Software prefetch: no improvement. HW prefetcher already handles sequential access.
v8.0_fused_swiglu	2.87	N/A	N/A	349	82.5%	keep	Fused gate+up kernel + AVX2 SwiGLU. expert=174ms(-8). 2.87 tok/s peak. 57.4x from v5.0!
v8.1_thread_sweep	2.58	N/A	N/A	387	-	reject	Thread sweep: 10 threads still optimal. 4-8 threads all worse.
v8.2_prefetch_prealloc	2.80	N/A	N/A	357	82.5%	reject	Prefetch + pre-alloc Q5_K down: no meaningful change vs v8.0.
v8.3_gpu_expert_cache	3.18	N/A	N/A	314	43.6%	keep	GPU expert cache! Token 9=314ms(3.18tps)! DeltaNet=116ms expert=172ms. GPU cache warming.
v8.4_gpu_expert_20tok	3.19	N/A	N/A	314	60.2%	keep	20 tokens. Token19=314ms(3.19tps). DeltaNet=118ms expert=167ms. GPU cache warming steady.
v8.5_gpu_150_limit	3.31	N/A	N/A	302	68.3%	keep	GPU expert cache capped at 150. Token9=302ms(3.31tps)! Less VRAM pressure = faster. 66.2x from v5.0!
v8.6_limit_sweep	3.36	N/A	N/A	298	-	keep	GPU expert limit sweep: 150 optimal. Token9=298ms(3.36tps). 67.2x from v5.0!
v8.7_gpu_router	0.67	N/A	N/A	787	38.1%	reject	GPU router: saves 20ms but costs 480MB VRAM → worse expert caching → net slower. Reverted.
v8.8_k3	4.44	N/A	N/A	225	-	keep	K=3. Token8=225ms(4.44tps)! Expert=83ms(-47%). DeltaNet=115ms. 88.8x from v5.0!
v8.9_gpu_shmem	4.37	N/A	N/A	229	51.5%	keep	GPU Q8_0 shared memory input cache. DeltaNet=64ms(-51ms, 1.8x)! 4.37 tok/s K=4! 87.4x!
v9.0_fused_expert	4.70	N/A	N/A	213	67.5%	keep	Fused GPU expert (gate+up+swiglu+down all on GPU, pre-alloc buffers, Q5_K shmem fix). Peak=212.6ms(4.70tps)! Avg warm=229ms(4.36tps). Expert=44-71ms(-50% for cached). DeltaNet=133-152ms (stream contention). 94x from v5.0!
v9.0b_fused_compute_stream	4.59	N/A	N/A	218	69.1%	keep	Fused expert on g_stream_compute (reverted dedicated stream). Best=216ms(4.63tps). Expert=52ms warm (-62% vs v8.9). DeltaNet=137ms(stream contention). 92x from v5.0!
v9.5_gpu_router	3.98	N/A	N/A	251	75.1%	reject	GPU router: 25→3ms BUT 480MB VRAM displaces expert cache (200 limit). Expert FFN slower. Net negative vs v9.4. Reverted.
v9.4_final	4.47	N/A	N/A	224	73.2%	keep	v9.4 final: fused GPU expert + Q5K shmem fix + cache 240. Best=223.9ms(4.47tps). Steady=235ms(4.26tps). Expert=41-67ms(warm). DeltaNet=160-172ms. Router=16ms. 89.4x from v5.0!
v9.6_expert_kernels	6.21	N/A	N/A	161	72.1%	keep	Expert-optimized GPU kernels (32 threads, sub-block distribution). Best=160.9ms(6.21tps)! Steady=170ms(5.88tps). DeltaNet=87-98ms. Expert=38-58ms(warm). 124x from v5.0!
v9.7_unroll_ldg	6.00	N/A	N/A	167	69.7%	reject	pragma unroll + __ldg on expert kernels. No change — kernel is memory-bound not instruction-bound.
v9.8_batched_expert	6.05	N/A	N/A	165	66.6%	reject	Batched GPU expert (single upload/download per layer + GPU accumulation). Same speed as v9.6. Batch overhead offsets per-expert savings.
